02:31:23;Joan Benoit; United States;February 3, 1980;Auckland, New Zealand;Z
2:30:57.1;Patti Catalano; United States;September 6, 1980;Montreal, Canada;Z
2:25:41.3;Grete Waitz; Norway;October 26, 1980;New York City Marathon;Z
02:30:27;Joyce Smith; United Kingdom;November 16, 1980;Tokyo, Japan;Z
02:29:57;Joyce Smith; United Kingdom;March 29, 1981;London, United Kingdom;Z
2:29:01.6;Charlotte Teske;Germany;January 16, 1982;Miami, United States;Z
02:26:12;Joan Benoit; United States;September 12, 1982;Eugene, United States;Z
2:25:28.7;Grete Waitz; Norway;April 17, 1983;London, United Kingdom;Z
02:22:43;Joan Benoit; United States;April 18, 1983;Boston Marathon;Z
02:24:26;Ingrid Kristiansen; Norway;May 13, 1984;London, United Kingdom;Z
02:21:06;Ingrid Kristiansen; Norway;April 21, 1985;London, United Kingdom;Z
02:20:47;Tegla Loroupe; Kenya;April 19, 1998;Rotterdam Marathon;Z
02:20:43;Tegla Loroupe; Kenya;September 26, 1999;Berlin Marathon;Z
02:19:46;Naoko Takahashi; Japan;September 30, 2001;Berlin Marathon;Z
02:18:47;Catherine Ndereba; Kenya;October 7, 2001;Chicago Marathon;Z
02:17:18;Paula Radcliffe; United Kingdom;October 13, 2002;Chicago Marathon;Z
02:15:25;Paula Radcliffe; United Kingdom;April 13, 2003;London, United Kingdom;Z
